user_name,score,date,text,gemma2_sentiment,gemma2_confidence,error_sentiment,classic_sentiment,positive,neutral,negative,time,class_sentiment,class_group,combined_weight_sentiment,combined_abs_sentiment,error_sentiment_value,llama3_sentiment,llama3_confidence,mistral-nemo_sentiment,mistral-nemo_confidence,qwen2_sentiment,qwen2_confidence,qwen2.5-7b_sentiment,qwen2.5-7b_confidence
Rogerio Reis,1,01/07/2024,Péssimo pois não consigo entrar no meu app,-0.8,0.7,0,-0.296,0.0,0.761,0.239,2.18,detractor,acesso,-0.7,-0.76,,0.7,0.8,-0.8,1.0,-1.0,0.8,-1.0,0.8
Abimael Correia,5,01/07/2024,top comecei hoje e bora ver quantos que vô faturar,0.6,0.7,0,0.0,0.0,1.0,0.0,2.075,promoter,venda,0.57,0.54,,0.6,0.8,,,0.5,0.8,0.5,0.8
Glória,1,01/07/2024,"para você q tem comércio, usa essa financeira, motivo se vender por links para ser melhor para vc, eles bloqueia seu saldo por 30 dia, então vc só vai receber no próximo mês. pfvr não abaixe o app obrigado ton pela péssima experiência agora vou ficar com uma divida atrasada pq o app e lixo",-0.8,0.9,0,0.1027,0.131,0.712,0.157,2.145,detractor,atendimento,-0.62,-0.72,,-0.7,0.8,-0.8,1.0,-0.7,0.8,-0.8,0.7
Deyvison e Jhenifer,5,01/07/2024,aplicativo excelente,0.8,0.9,0,0.6249,0.804,0.196,0.0,1.403,promoter,outros,0.76,0.79,,0.8,0.9,0.8,1.0,0.8,1.0,0.8,0.9
Mariano Ferreira,1,01/07/2024,Fiz uma vendo tive que esperar 120 dia co Completou hoje me mandar um email dizendo que o dinheiro Dizendo que devolver o não tem comprovante muito enrolado,-0.6,0.8,0,-0.296,0.0,0.919,0.081,2.285,detractor,venda,-0.54,-0.58,,0.3,0.8,-0.5,0.8,-0.7,0.6,-0.7,0.8
Ana Junger,1,01/07/2024,Fiz para poder usar e não consegui. Achei péssimo . Entrei em contato e nada. Então melhor foi desinstalar.,-0.8,0.9,0,0.1469,0.167,0.644,0.188,2.579,detractor,atendimento,-0.61,-0.72,,0.7,0.9,-0.7,0.9,-0.8,1.0,-0.8,0.7
Gabriel Santos,1,01/07/2024,"Pecimo aplicativo, atendimento horrível prazo de recebimento das vendas muito longos eles dizem que vai pagar e pagar e nunca pagam, não recomendo pra ninguém",-0.8,0.9,0,-0.5267,0.088,0.704,0.208,2.259,detractor,venda,-0.75,-0.79,,0.7,0.9,-0.9,1.0,-0.9,0.8,-0.8,0.7
Andeson Antonio,5,01/07/2024,App mt bom de manusear.,0.7,0.8,0,0.4215,0.412,0.588,0.0,2.286,promoter,outros,0.64,0.68,,0.7,0.8,0.75,1.0,0.7,0.8,0.8,0.9
Assis Nascimento,5,01/07/2024,ótimo aplicativo e às máquinas super indico,0.8,0.9,0,0.7506,0.615,0.385,0.0,1.426,promoter,outros,0.79,0.8,,0.8,0.9,0.8,1.0,0.8,1.0,0.8,0.9
Joselita Santos Sales,2,01/07/2024,Já instalei e desinstalei esse aplicativo umas 3 ou 4 vezes. Visto que não consigo entrar no APP. Só volta depois da reinstalação.,0.1,0.6,0,-0.296,0.0,0.896,0.104,2.169,detractor,acesso,0.02,0.07,,0.5,0.8,-0.5,0.8,0.0,0.6,-0.2,0.7
Danyella Gouveia Dany,1,01/07/2024,vou dar uma estrela por que esse APP é muito ruim toda vez q vou entrar nele apresenta falhas e não consigo entrar no APP pode dar uma melhorada nesse app por que tá muito ruim,-0.8,0.9,0,-0.91,0.0,0.699,0.301,1.538,detractor,acesso,-0.82,-0.8,,-0.5,0.9,0.1,0.9,-0.8,0.6,-0.8,0.9
